iata;icao;name;runways;longest;elevation;country;region;city;lat;lon
ADK;PADK;Adak Airport;2;7790;18;US;US-AK;Adak Island;51.8779983520508;-176.64599609375
DLG;PADL;Dillingham Airport;1;6400;81;US;US-AK;Dillingham;59.04470062;-158.5050049
ADQ;PADQ;Kodiak Airport;3;7542;78;US;US-AK;Kodiak;57.75;-152.4940033
ENA;PAEN;Kenai Municipal Airport;3;7576;99;US;US-AK;Kenai;60.5731010437012;-151.244995117188
HOM;PAHO;Homer Airport;1;6701;84;US;US-AK;Homer;59.6455993652344;-151.477005004883
ILI;PAIL;Iliamna Airport;4;5087;192;US;US-AK;Iliamna;59.75439835;-154.9109955
JNU;PAJN;Juneau International Airport;2;8457;21;US;US-AK;Juneau;58.3549995422363;-134.57600402832
AKN;PAKN;King Salmon Airport;3;8901;73;US;US-AK;King Salmon;58.67679977;-156.6490021
MCG;PAMC;McGrath Airport;2;5936;341;US;US-AK;McGrath;62.95289993;-155.6060028
ANI;PANI;Aniak Airport;2;6000;88;US;US-AK;Aniak;61.581600189209;-159.542999267578
